"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q00526","CDK3","CDK3","Kinase","2","0.596","0.127","4.702","0.00000257","0.00000619"
"Q07002","CDK18","CDK18","Kinase","2","0.596","0.127","4.702","0.00000257","0.00000619"
"O60674","JAK2","JAK2","Kinase","4","1.03","0.219","4.695","0.00000267","0.00000636"
"Q13976","PKG1 iso2","PRKG1","Kinase","5","1.147","0.245","4.692","0.00000271","0.00000638"
"Q00535","CDK5","CDK5","Kinase","23","0.59","0.127","4.644","0.00000342","0.00000796"
"P54646","AMPKA2","PRKAA2","Kinase","4","1.421","0.312","4.556","0.00000520","0.0000120"
"P53667","LIMK1","LIMK1","Kinase","1","1.093","0.247","4.422","0.00000976","0.0000218"
"P53671","LIMK2","LIMK2","Kinase","1","1.093","0.247","4.422","0.00000976","0.0000218"
"Q15569","TESK1","TESK1","Kinase","1","1.093","0.247","4.422","0.00000976","0.0000218"
"O75676","MSK2","RPS6KA4","Kinase","1","1.294","0.293","4.419","0.00000991","0.0000218"
"P49841","GSK3B","GSK3B","Kinase","26","0.626","0.142","4.418","0.00000996","0.0000218"
"O43318","TAK1","MAP3K7","Kinase","1","1.096","0.25","4.387","0.0000115","0.0000250"
"Q7L7X3","TAO1","TAOK1","Kinase","2","1.55","0.356","4.357","0.0000132","0.0000283"
"Q9P289","MST4","STK26","Kinase","1","1.248","0.287","4.354","0.0000134","0.0000285"
"O94921","CDK14","CDK14","Kinase","1","3.55","0.816","4.349","0.0000137","0.0000289"
"P53355","DAPK1","DAPK1","Kinase","2","1.079","0.251","4.296","0.0000174","0.0000363"
"O14965","AurA","AURKA","Kinase","8","0.92","0.215","4.279","0.0000188","0.0000389"
"O00418","EEF2K","EEF2K","Kinase","3","1.57","0.373","4.205","0.0000262","0.0000537"
"O76039","CDKL5","CDKL5","Kinase","2","1.056","0.254","4.15","0.0000333","0.0000678"
"Q12851","GCK","MAP4K2","Kinase","1","0.896","0.216","4.14","0.0000347","0.0000695"
"Q92918","HPK1","MAP4K1","Kinase","1","0.896","0.216","4.14","0.0000347","0.0000695"
"O94806","PRKD3","PRKD3","Kinase","2","1.068","0.26","4.108","0.0000398","0.0000790"
"Q15139","PRKD1","PRKD1","Kinase","16","0.909","0.224","4.064","0.0000482","0.0000948"
"Q16566","CAMK4","CAMK4","Kinase","2","1.226","0.302","4.056","0.0000499","0.0000971"
"Q16512","PKN1","PKN1","Kinase","2","1.274","0.315","4.043","0.0000527","0.000102"
"Q9UGJ0","AMPKG2","PRKAG2","Kinase","2","1.188","0.299","3.968","0.0000724","0.000139"
"Q8IYT8","ULK2","ULK2","Kinase","1","2.199","0.557","3.95","0.0000780","0.000148"
"O00444","PLK4","PLK4","Kinase","1","1.858","0.472","3.934","0.0000835","0.000157"
"Q02750","MEK1","MAP2K1","Kinase","2","0.762","0.195","3.896","0.0000977","0.000183"
"Q9Y6E0","MST3","STK24","Kinase","2","1.677","0.437","3.842","0.000122","0.000226"
"Q96BR1","SGK3","SGK3","Kinase","2","1.629","0.426","3.823","0.000132","0.000242"
"P50613","CDK7","CDK7","Kinase","8","0.71","0.186","3.808","0.000140","0.000255"
"Q9Y478","AMPKB1","PRKAB1","Kinase","1","1.557","0.413","3.765","0.000167","0.000302"
"P53779","JNK3","MAPK10","Kinase","3","0.727","0.196","3.709","0.000208","0.000373"
"Q9UQM7","CAMK2A","CAMK2A","Kinase","5","0.935","0.254","3.682","0.000231","0.000411"
"Q15349","RSK3","RPS6KA2","Kinase","4","0.916","0.25","3.666","0.000247","0.000435"
"P68400","CK2A1","CSNK2A1","Kinase","21","0.634","0.174","3.638","0.000274","0.000481"
"Q13535","ATR","ATR","Kinase","10","0.792","0.218","3.636","0.000277","0.000481"
"Q14004","CDK13","CDK13","Kinase","5","0.795","0.22","3.608","0.000309","0.000533"
"O15530","PDK1","PDPK1","Kinase","5","0.883","0.248","3.555","0.000379","0.000648"
"P49840","GSK3A","GSK3A","Kinase","6","0.817","0.231","3.545","0.000393","0.000668"
"O43293","DAPK3","DAPK3","Kinase","2","0.931","0.264","3.531","0.000414","0.000698"
"Q92630","DYRK2","DYRK2","Kinase","7","0.919","0.261","3.524","0.000426","0.000713"
"P00519","Abl","ABL1","Kinase","2","1.553","0.442","3.514","0.000441","0.000733"
"O14757","Chk1","CHEK1","Kinase","24","0.807","0.24","3.362","0.000774","0.00128"
"Q8IWU2","Lmr2","LMTK2","Kinase","1","0.931","0.282","3.297","0.000976","0.00160"
"O95382","MEKK6","MAP3K6","Kinase","1","0.8","0.244","3.273","0.00106","0.00168"
"P45985","MKK4","MAP2K4","Kinase","1","0.8","0.244","3.273","0.00106","0.00168"
"P46734","MKK3","MAP2K3","Kinase","1","0.8","0.244","3.273","0.00106","0.00168"
"P52564","MKK6","MAP2K6","Kinase","1","0.8","0.244","3.273","0.00106","0.00168"
"Q99683","ASK1","MAP3K5","Kinase","1","0.8","0.244","3.273","0.00106","0.00168"
"P15056","BRAF","BRAF","Kinase","2","0.82","0.252","3.256","0.00113","0.00177"
"Q9H2G2","SLK","SLK","Kinase","1","1.713","0.528","3.246","0.00117","0.00182"
"Q92519","TRB2","TRIB2","Kinase","1","0.684","0.211","3.239","0.00120","0.00186"
"Q13554","CAMK2B","CAMK2B","Kinase","3","1.034","0.319","3.237","0.00121","0.00186"
"Q9UL54","TAO2","TAOK2","Kinase","1","1.805","0.559","3.229","0.00124","0.00190"
"Q9BZL6","PRKD2","PRKD2","Kinase","3","1","0.311","3.217","0.00129","0.00196"
"Q9HC98","NEK6","NEK6","Kinase","5","0.81","0.253","3.196","0.00139","0.00210"
"P43405","Syk","SYK","Kinase","3","1.245","0.39","3.193","0.00141","0.00210"
"Q99640","Myt1","PKMYT1","Kinase","2","1.4","0.444","3.157","0.00159","0.00237"
"Q38SD2","LRRK1","LRRK1","Kinase","1","1.691","0.547","3.09","0.00200","0.00295"
"O95835","LATS1","LATS1","Kinase","2","0.957","0.314","3.048","0.00230","0.00338"
"O96013","PAK4","PAK4","Kinase","2","0.782","0.259","3.02","0.00253","0.00369"
"Q14680","MELK","MELK","Kinase","3","0.937","0.326","2.875","0.00404","0.00586"
"Q9BUB5","Mnk1 iso2","MKNK1","Kinase","2","1.329","0.465","2.858","0.00426","0.00613"
"Q9H2X6","HIPK2","HIPK2","Kinase","8","0.702","0.247","2.841","0.00450","0.00643"
"P11362","FGFR1","FGFR1","Kinase","2","0.71","0.251","2.825","0.00473","0.00673"
"P15531","NME1","NME1","Kinase","1","1.539","0.546","2.818","0.00483","0.00682"
"Q04759","PKCT","PRKCQ","Kinase","5","0.759","0.271","2.807","0.00500","0.00702"
"P33981","TTK","TTK","Kinase","6","0.664","0.238","2.795","0.00520","0.00725"
"P19525","PKR","EIF2AK2","Kinase","2","0.804","0.29","2.772","0.00557","0.00772"
"O14920","IKKB","IKBKB","Kinase","3","1.034","0.383","2.698","0.00697","0.00960"
"P50750","CDK9","CDK9","Kinase","11","0.463","0.177","2.619","0.00881","0.0121"
"Q9UHD2","TBK1","TBK1","Kinase","3","0.891","0.344","2.592","0.00956","0.0130"
"Q9P0L2","MARK1","MARK1","Kinase","3","1.913","0.753","2.539","0.0111","0.0150"
